一,yī,一,1,one
七,qī,七,1,seven
三,sān,三,1,three
上,shàng,上,1,up; on
下,xià,下,1,"down, below"
不,bù,不,1,not
東,dōng,东,1,east
個,gè,个,1,individual; (measure word for objects)
中,zhòng,中,1,to hit; to win (a prize)
中,zhōng,中,1,"middle, center"
麼,me,么,1,(suffix for pronouns/adjectives)
九,jiǔ,九,1,nine
習,xí,习,1,to practice; practice
書,shū,书,1,book
買,mǎi,买,1,to buy
了,le,了,1,(particle for completed action)
瞭,liào,了,1,"to understand, to realize"
了,liǎo,了,1,to finish
二,èr,二,1,two
五,wǔ,五,1,five
些,xiē,些,1,"some, afew"
京,jīng,京,1,capital city
亮,liàng,亮,1,bright
人,rén,人,1,human; person
什,shén,什,1,what
今,jīn,今,1,"today, present"
他,tā,他,1,"he, him"
們,men,们,1,(plural suffix)
會,huì,会,1,"meet, can"
住,zhù,住,1,"to live, to reside"
作,zuò,作,1,"to do, to make"
你,nǐ,你,1,you
妳,nǐ,你,1,you (female)
候,hòu,候,1,wait
做,zuò,做,1,"to do, to make"
兒,ér,儿,1,child
先,xiān,先,1,first; before
八,bā,八,1,eight
六,liù,六,1,six
關,guān,关,1,"to close, to shut"
興,xīng,兴,1,to rise; to flourish
再,zài,再,1,again; then
寫,xiě,写,1,to write
冷,lěng,冷,1,cold
几,jǐ,几,1,"how many; several, a few"
幾,jī,几,1,small table
幾,jī,几,1,almost
出,chū,出,1,"to exit, to go out"
齣,chū,出,1,to appear
分,fēn,分,1,minute; divide
前,qián,前,1,"before, front"
北,běi,北,1,north
醫,yī,医,1,"medicine, heal, doctor"
十,shí,十,1,ten
午,wǔ,午,1,noon
去,qù,去,1,go
友,yǒu,友,1,friend
叫,jiào,叫,1,"to call, to shout"
號,hào,号,1,to number; to call
吃,chī,吃,1,to eat
同,tóng,同,1,"same; with, together"
名,míng,名,1,"name, fame"
後,hòu,后,1,"after, back"
后,hòu,后,1,queen
嗎,ma,吗,1,(question particle)
聽,tīng,听,1,to listen
呢,ne,呢,1,(a question particle)
和,hé,和,1,and; peace
哪,nǎ,哪,1,which; where
商,shāng,商,1,commerce; business
喂,wèi,喂,1,"(onomatopoeic) hello, hey"
餵,wèi,喂,1,to feed
喜,xǐ,喜,1,joy
喝,hē,喝,1,to drink
四,sì,四,1,four
回,huí,回,1,to turn around; to return; to reply
迴,huí,回,1,"to wind, to circle, to rotate; to avoid"
國,guó,国,1,country
在,zài,在,1,"at, in"
坐,zuò,坐,1,to sit
塊,kuài,块,1,"lump, chunk"
多,duō,多,1,"many, much"
大,dà,大,1,big
天,tiān,天,1,"sky, heaven; day"
太,tài,太,1,"too, extremely"
女,nǚ,女,1,"female, woman"
她,tā,她,1,"she, her"
好,hǎo,好,1,good
妈,mā,妈,1,mom
媽,mā,妈,1,mother
姐,jiě,姐,1,elder sister
子,zǐ,子,1,son; child; suffix for small objects
字,zì,字,1,"character, word"
學,xué,学,1,to learn
客,kè,客,1,guest
家,jiā,家,1,home; family
傢,jiā,家,1,furniture; family
對,duì,对,1,"correct, pair"
小,xiǎo,小,1,small
少,shào,少,1,young
少,shǎo,少,1,"few, little"
歲,suì,岁,1,"year, age"
工,gōng,工,1,work
師,shī,师,1,teacher
年,nián,年,1,year
店,diàn,店,1,"shop, store"
開,kāi,开,1,to open
影,yǐng,影,1,shadow; image
很,hěn,很,1,very
怎,zěn,怎,1,how
想,xiǎng,想,1,to want; to think
我,wǒ,我,1,"I, me"
打,dǎ,打,1,to hit
時,shí,时,1,time; hour
明,míng,明,1,"bright, clear; tomorrow"
星,xīng,星,1,star
昨,zuó,昨,1,yesterday
是,shì,是,1,"is, are; correct"
月,yuè,月,1,moon; month
有,yǒu,有,1,to have
朋,péng,朋,1,friend
服,fú,服,1,clothes; obey
期,qī,期,1,"period, time"
本,běn,本,1,"root, origin"
機,jī,机,1,machine
來,lái,来,1,to come
杯,bēi,杯,1,cup; glass (measure word for drinks)
果,guǒ,果,1,fruit; result
校,jiào,校,1,"to proofread, to check; proofreading"
校,xiào,校,1,school
樣,yàng,样,1,"appearance, kind"
桌,zhuō,桌,1,table
椅,yǐ,椅,1,chair
歡,huān,欢,1,happiness
氣,qì,气,1,air
水,shuǐ,水,1,water
漢,hàn,汉,1,(name of an ethnic and an ancient dynasty) Han
沒,méi,没,1,disappear; not
漂,piāo,漂,1,"to float, to drift"
點,diǎn,点,1,"point, dot"
熱,rè,热,1,hot
愛,ài,爱,1,to love; love
爸,bà,爸,1,"father, dad"
狗,gǒu,狗,1,dog
貓,māo,猫,1,cat
現,xiàn,现,1,"to appear, to show; present, current"
生,shēng,生,1,to grow; life; student
電,diàn,电,1,"lightning, electricity"
的,de,的,1,possessive particle
看,kàn,看,1,"to look, to see"
睡,shuì,睡,1,sleep
租,zū,租,1,to rent
米,mǐ,米,1,rice
繫,xì,系,1,to tie
系,xì,系,1,"system, department"
係,xì,系,1,to relate to; be
老,lǎo,老,1,old
能,néng,能,1,"able, can; energy"
腦,nǎo,脑,1,brain
蘋,píng,苹,1,apple
茶,chá,茶,1,tea
菜,cài,菜,1,vegetable; dish
衣,yī,衣,1,clothes
西,xī,西,1,west
見,jiàn,见,1,"to see, to perceive"
視,shì,视,1,"to look, to see"
覺,jiào,觉,1,sleep
覺,jué,觉,1,aware; feel; sense
認,rèn,认,1,to recognize
識,shí,识,1,to know
話,huà,话,1,"speech, words"
語,yǔ,语,1,language; to talk
說,shuō,说,1,"say, speak"
請,qǐng,请,1,"please, invite"
讀,dú,读,1,to read
誰,shéi,谁,1,who
謝,xiè,谢,1,to apologize; to decline; to thank; (flower) to wither
起,qǐ,起,1,rise
車,chē,车,1,vehicle
這,zhè,这,1,this
那,nà,那,1,that
都,dōu,都,1,"all, both"
里,lǐ,里,1,village
裏,lǐ,里,1,inside
裡,lǐ,里,1,inside
鐘,zhōng,钟,1,bell; clock
鍾,zhōng,钟,1,focus
錢,qián,钱,1,money
院,yuàn,院,1,"yard, courtyard"
雨,yǔ,雨,1,rain
麪,miàn,面,1,"flour, noodles"
面,miàn,面,1,"face; surface, cover"
飛,fēi,飞,1,to fly
飯,fàn,饭,1,(archaic) cooked rice (a food); meal
高,gāo,高,1,"tall, high"
丈,zhàng,丈,2,(unit of measure) ten feet; elder male
兩,liǎng,两,2,"two, both"
爲,wéi,为,2,as
爲,wèi,为,2,for
樂,lè,乐,2,happiness
樂,yuè,乐,2,music
也,yě,也,2,also
事,shì,事,2,"affair, matter"
介,jiè,介,2,to introduce
